ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD
1009255-112-190821436,1,1,2021,1,2,55,3,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,SINALOA,,-102.28158409999999,21.860128800000002
1009255-112-190821437,1,1,2021,1,2,55,3,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL JOSÉ MARÍA ARTEAGA,JOSÉ MARÍA MORELOS Y PAVÓN,,-102.2963503,21.88665471
1009255-112-190821439,1,1,2021,1,3,30,3,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ MARÍA CHÁVEZ,SIGLO XXI,,-102.2907731,21.84477635
1009255-112-190821448,1,1,2021,1,4,0,3,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ZACARÍAS GUTIÉRREZ,PEDRO MORALES,,-102.334901,21.92471251
1009255-112-190821441,1,1,2021,1,4,15,3,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,27,0,0,0,0,0,0,0,0,0,0,0,0,3,A ZACATECAS,ARROYO EL MOLINO,,-102.29112629999999,21.93705771
1009255-112-190821442,1,1,2021,1,5,0,3,7,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,4,9,32,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE DE NACOZARI SUR,AVENIDA DE LOS FUNDADORES,,-102.2818069,21.87086066
1009255-112-190821443,1,1,2021,1,18,30,3,7,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,56,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,SAN FRANCISCO DE LOS VIVEROS,,-102.24826750000001,21.87957705
1009264-619-174487444,1,1,2021,1,20,45,3,7,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,30,0,0,0,0,0,0,0,0,0,0,0,0,3,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,-102.2274466,21.79053114
1009255-112-190821450,1,1,2021,1,23,11,3,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,32,0,0,0,0,0,0,0,0,0,0,0,0,3,AMECA,JAMAY,,-102.3332723,21.87977186
1009255-112-190821449,1,1,2021,1,23,50,3,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,TULÚM,AGUASCALIENTES SUR,,-102.25541750000001,21.85993798
1009255-112-190821446,1,1,2021,1,0,10,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,TECNOLÓGICO,,-102.2445294,21.86774124
1009255-112-190821447,1,1,2021,1,1,55,4,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,MONTE DE SORA,CONSTITUCIONALISTAS,,-102.2665614,21.93775975
1009255-112-190821451,1,1,2021,1,9,20,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,8,30,0,0,0,0,0,1,0,0,0,0,0,1,2,GUADALUPANO,SIGLO XXI,,-102.2569997,21.90699071
1009255-112-190821452,1,1,2021,1,9,50,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,51,0,0,0,0,0,0,0,0,0,0,0,0,3,CELSO BERNAL,BOULEVARD A ZACATECAS,,-102.2909397,21.90243562
1009255-112-190821459,1,1,2021,1,13,30,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,9,25,0,0,0,0,0,1,0,0,0,0,0,1,2,5 DE MAYO,GENERAL IGNACIO ALLENDE,,-102.29709179999999,21.88212371
1009255-112-190821458,1,1,2021,1,14,0,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,62,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,QUINTA,,-102.3007092,21.86056375
1009255-112-190821453,1,1,2021,1,15,0,4,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,2,5,9,43,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,MAYO DE 1812,,-102.2603439,21.85433363
1009255-112-190821454,1,1,2021,1,15,40,4,1,1,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,5,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,FERROCARRIL,CONVENCIÓN DE 1914 SUR,,-102.2779795,21.86785871
1009255-112-190821455,1,1,2021,1,15,50,4,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,49,0,0,0,1,0,0,0,0,0,0,0,1,2,ASIENTOS,GENERAL IGNACIO ZARAGOZA,,-102.3008943,21.90612243
1009255-112-190821457,1,1,2021,1,16,50,4,1,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,9,71,0,1,0,0,0,0,0,0,0,0,0,1,2,LICENCIADO MIGUEL DE LA MADRID HURTADO,LICENCIADO MIGUEL DE LA MADRID,,-102.3244099,21.93622482
1009255-112-190821456,1,1,2021,1,17,40,4,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,17,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ MARÍA CHÁVEZ,MAHATMA GANDHI,,-102.2951002,21.87081328
1009264-619-174487445,1,1,2021,1,20,1,4,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,9,17,0,1,0,0,0,0,0,0,0,0,0,1,2,AGUASCALIENTES - TANQUE DE LOS JIMÉNEZ,,AGUASCALIENTES - TANQUE DE LOS JIMÉNEZ,-102.3488338,21.79644469
1009255-112-190821643,1,1,2021,1,22,49,4,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,ERMITA DE SAN SEBASTIÁN,,-102.26404959999999,21.92542154
1009255-112-190821462,1,1,2021,1,7,40,5,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,QUINTA,CONVENCIÓN DE 1914 SUR,,-102.2982751,21.86610326
1009255-112-190821460,1,1,2021,1,11,50,5,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,3,DÍAZ,EMILIANO ZAPATA,,-102.2995017,21.93641254
1009255-112-190821461,1,1,2021,1,23,50,5,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO ADOLFO RUÍZ CORTINES,AGUASCALIENTES PONIENTE,,-102.3186525,21.87157435
1009255-112-190821463,1,1,2021,1,9,30,6,3,1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,9,32,0,0,0,0,0,0,0,1,0,0,0,1,2,CHICHIMECO,HÉROE DE NACOZARI SUR,,-102.28056240000001,21.87715547
1009255-112-190821464,1,1,2021,1,12,20,6,3,1,0,10,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ MARÍA CHÁVEZ,JARDÍN DEL ESTUDIANTE,,-102.2944345,21.86680585
1009255-112-190821465,1,1,2021,1,18,40,6,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,MELQUÍADES MORENO,AGLAYA,,-102.2947317,21.90739829
1009255-112-190821467,1,1,2021,1,19,15,6,3,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,22,0,1,0,1,0,0,0,0,0,0,0,2,2,AGUASCALIENTES SUR,NAYARIT,,-102.2798646,21.85998699
1009255-112-190821466,1,1,2021,1,19,20,6,3,1,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,9,50,0,1,0,0,0,0,0,0,0,0,0,1,2,JOSÉ DE JESÚS GONZÁLEZ GARCÍA,ADALBERTO SANTACRUZ,,-102.2536751,21.92946158
1009255-112-190821470,1,1,2021,1,20,0,6,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,9,22,0,0,0,0,0,1,0,0,0,0,0,1,2,HACIENDA DEL MILAGRO,SAN GERÓNIMO,,-102.2514411,21.88610255
1009255-112-190821468,1,1,2021,1,23,45,6,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,17,0,0,0,0,0,0,0,0,0,0,0,0,3,GALEANA NORTE,MOCTEZUMA,,-102.29765350000001,21.88060946
1009255-112-190821469,1,1,2021,1,1,0,7,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,GUADALUPANO,SIGLO XXI,,-102.2569997,21.90699071
1009255-112-190821473,1,1,2021,1,8,5,7,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,65,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA DE LOS MAESTROS,REPÚBLICA DE CUBA,,-102.3106195,21.86497777
1009255-112-190821471,1,1,2021,1,8,15,7,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,58,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO ADOLFO RUÍZ CORTINES,FELIPE ÁNGELES,,-102.3245309,21.87155084
1009255-112-190821472,1,1,2021,1,8,50,7,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ DE JESÚS GONZÁLEZ GARCÍA,GERÓNIMO DE LA CUEVA,,-102.2605597,21.93161134
1009255-112-190821474,1,1,2021,1,10,40,7,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,PROFESOR OTILIO E. MONTAÑO,,-102.2529886,21.85597922
1009255-112-190821476,1,1,2021,1,16,32,7,4,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,19,0,1,0,0,0,0,0,0,0,0,0,1,2,POLIDUCTO,SAN FRANCISCO DE LOS VIVEROS,,-102.242814,21.88147687
1009255-112-190821475,1,1,2021,1,20,45,7,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,1,0,0,0,0,0,1,2,SIGLO XXI,TECNOLÓGICO,,-102.2445287,21.86774074
1009255-112-190821477,1,1,2021,1,3,30,8,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,PASEO DE LA CRUZ,FERROCARRIL,,-102.2785032,21.87353184
1009255-112-190821478,1,1,2021,1,7,55,8,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,41,0,0,0,0,0,0,0,0,0,0,0,0,3,INDEPENDENCIA,CENTRO DE BASICOS,,-102.29735699999999,21.91452778
1009255-112-190821479,1,1,2021,1,9,15,8,5,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,5,9,25,0,1,0,0,0,0,0,0,0,0,0,1,2,GUADALUPANO,POLIDUCTO,,-102.25201240000001,21.91238668
1009255-112-190821480,1,1,2021,1,11,15,8,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,52,0,0,0,0,0,0,0,0,0,0,0,0,3,OJOCALIENTE,TECNOLÓGICO,,-102.2515701,21.871606
1009255-112-190821481,1,1,2021,1,19,15,8,5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,5,9,72,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ H. ESCOBEDO,FERNÁN CABALLERO,,-102.27472579999998,21.89291385
1009255-112-190821482,1,1,2021,1,19,30,8,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,MADRID,,-102.3038558,21.85921138
1009255-112-190821484,1,1,2021,1,23,30,8,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 PONIENTE,JARDINES ETERNOS,,-102.3124907,21.88977331
1009255-112-190821483,1,1,2021,1,0,0,9,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,AYUNTAMIENTO,PITÁGORAS,,-102.2856142,21.86872949
1009255-112-190821485,1,1,2021,1,0,25,9,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE DE NACOZARI SUR,PASEO DE LOS CISNES,,-102.2821548,21.85416314
1009255-112-190821486,1,1,2021,1,0,50,9,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN MARCOS FRENTE AL PARQUE,SAN MARCOS,,-102.32163709999999,21.8640923
1009255-112-190821492,1,1,2021,1,0,50,9,6,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES PONIENTE,JARDINES ETERNOS,,-102.316914,21.88970815
1009255-112-190821488,1,1,2021,1,4,17,9,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,DOCTOR ISIDRO CALERA,NORBERTO GÓMEZ HORNEDO,,-102.2896792,21.89485554
1009255-112-190821487,1,1,2021,1,5,15,9,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ MARÍA CHÁVEZ,SIGLO XXI,,-102.2905147,21.84269982
1009255-112-190821489,1,1,2021,1,9,30,9,6,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,5,9,42,0,1,0,0,0,0,0,0,0,0,0,1,2,SIGLO XXI,CONSTITUCIONALISTAS,,-102.2722267,21.93438563
1009255-112-190821490,1,1,2021,1,12,30,9,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,CONVENCIÓN DE 1914 ORIENTE,GENERAL PLUTARCO ELÍAS CALLES,,-102.27245740000001,21.86978286
1009255-112-190821493,1,1,2021,1,14,30,9,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,PAULINO N. MARTÍ,AGUASCALIENTES NORTE,,-102.2810071,21.91499431
1009255-112-190821491,1,1,2021,1,15,0,9,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,27,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,GERÓNIMO DE LA CUEVA,,-102.267145,21.92804283
1009255-112-190821494,1,1,2021,1,16,25,9,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,CONSTITUCIÓN,ARTÍCULO 18,,-102.2829779,21.93185517
1009255-112-190821495,1,1,2021,1,16,40,9,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,GUADALUPANO,GUADALUPE ALVARADO,,-102.2581169,21.90658068
1009255-112-190821496,1,1,2021,1,20,0,9,6,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,FRANCISCO LEÓN DE LA BARRERA,,-102.252988,21.86629578
1009255-112-190821514,1,1,2021,1,0,20,10,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,UNIVERSIDAD,CONVENCIÓN DE 1914 NORTE,,-102.3046778,21.89729065
1009255-112-190821497,1,1,2021,1,0,54,10,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,42,0,0,0,0,0,0,0,0,0,0,0,0,3,INDEPENDENCIA,AGUASCALIENTES NORTE,,-102.2974708,21.91567831
1009255-112-190821498,1,1,2021,1,1,15,10,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,25,0,0,0,0,0,0,0,0,0,0,0,0,3,NORIAS DE FAVARAN,NORIAS DE CALDERÓN,,-102.22535309999999,21.87885201
1009255-112-190821502,1,1,2021,1,1,55,10,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,PADUA,,-102.312699,21.84390768
1009255-112-190821500,1,1,2021,1,3,10,10,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,25,0,1,0,0,0,0,0,0,0,0,0,1,2,LICENCIADO ADOLFO LÓPEZ MATEOS PONIENTE,RINCÓN,,-102.3054552,21.875862100000003
1009255-112-190821501,1,1,2021,1,3,36,10,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO ADOLFO RUÍZ CORTINES,AHUALULCO,,-102.3311626,21.87309615
1009255-112-190821505,1,1,2021,1,5,20,10,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE INMORTAL,ARQUEROS,,-102.2694103,21.85998269
1009255-112-190821506,1,1,2021,1,5,55,10,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,RÍO VERDE,AQUILES SERDÁN,,-102.30074909999999,21.89183746
